date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-11-30,938.95,940.85,928.2,934.95,926.97,23950292,23950292,-4.0,-0.42601,935.7375,"November 30, 23",-0.0042601
2023-11-29,930.9,941.1,926.0,939.6,931.58,11680078,11680078,8.7,0.93458,934.4,"November 29, 23",0.0093458
2023-11-28,928.9,931.05,921.7,925.5,917.6,14231987,14231987,-3.4,-0.36602,926.7875,"November 28, 23",-0.0036602
2023-11-24,921.5,930.4,920.2,929.4,921.47,7452002,7452002,7.9,0.8573,925.375,"November 24, 23",0.008573
2023-11-23,923.0,925.35,918.5,923.0,915.12,5534614,5534614,0.0,0.0,922.4625,"November 23, 23",0.0
2023-11-22,923.25,925.2,914.75,922.75,914.87,12197979,12197979,-0.5,-0.05415651,921.4875,"November 22, 23",-0.0005415651
2023-11-21,924.4,928.05,922.0,926.1,918.2,8989572,8989572,1.7,0.1839,925.1375,"November 21, 23",0.001839
2023-11-20,922.0,926.75,917.5,921.45,913.59,10562301,10562301,-0.54999,-0.05965293,921.925,"November 20, 23",-0.0005965293
2023-11-17,926.55,938.4,920.15,921.85,913.98,10956653,10956653,-4.7,-0.50726,926.7375,"November 17, 23",-0.0050726
2023-11-16,939.0,946.2,934.0,936.0,928.01,19706373,19706373,-3.0,-0.31949,938.8,"November 16, 23",-0.0031949
2023-11-15,944.4,944.4,938.75,941.1,933.07,19492138,19492138,-3.3,-0.34943,942.1625,"November 15, 23",-0.0034943
2023-11-13,940.9,940.9,932.0,934.45,926.47,11470096,11470096,-6.45,-0.68551,937.0625,"November 13, 23",-0.0068551
2023-11-12,942.0,943.2,939.6,942.35,934.31,1560126,1560126,0.35,0.03715499,941.7875,"November 12, 23",0.0003715499
2023-11-10,934.9,941.45,932.4,938.6,930.59,9560455,9560455,3.7,0.39576,936.8375,"November 10, 23",0.0039576
2023-11-09,934.0,942.35,933.0,937.35,929.35,9406117,9406117,3.35,0.35867,936.675,"November 09, 23",0.0035867
2023-11-08,948.45,948.45,934.1,935.75,927.76,17606074,17606074,-12.7,-1.34,941.6875,"November 08, 23",-0.0134
2023-11-07,943.6,950.45,930.45,948.1,940.01,15704942,15704942,4.5,0.4769,943.15,"November 07, 23",0.004769
2023-11-06,941.0,947.75,937.4,945.45,937.38,10338367,10338367,4.45,0.4729,942.9,"November 06, 23",0.004729
2023-11-03,928.55,934.5,926.8,933.8,925.83,7146961,7146961,5.25,0.5654,930.9125,"November 03, 23",0.005654
2023-11-02,920.05,924.8,912.8,919.95,912.1,9747311,9747311,-0.09998,-0.01086897,919.4,"November 02, 23",-0.0001086897
2023-11-01,913.8,917.6,909.3,914.05,906.25,12927203,12927203,0.25,0.02735828,913.6875,"November 01, 23",0.0002735828
2023-10-31,929.3,931.0,914.1,915.35,907.54,17211107,17211107,-13.95,-1.5,922.4375,"October 31, 23",-0.015
2023-10-30,909.1,926.3,908.2,924.9,917.01,7687791,7687791,15.8,1.74,917.125,"October 30, 23",0.0174
2023-10-27,916.0,918.15,911.3,912.75,904.96,8645505,8645505,-3.25,-0.3548,914.55,"October 27, 23",-0.003548
2023-10-26,914.3,916.6,899.0,908.65,900.89,21693345,21693345,-5.65,-0.61796,909.6375,"October 26, 23",-0.0061796
2023-10-25,926.05,933.8,911.4,916.1,908.28,12593434,12593434,-9.95,-1.07,921.8375,"October 25, 23",-0.0107
2023-10-23,942.0,944.8,925.4,929.95,922.01,11856890,11856890,-12.05,-1.28,935.5375,"October 23, 23",-0.0128
2023-10-20,932.0,940.0,930.0,932.75,924.79,6586576,6586576,0.75,0.0804721,933.6875,"October 20, 23",0.000804721
2023-10-19,936.0,945.0,934.0,935.75,927.76,8612676,8612676,-0.25,-0.0267094,937.6875,"October 19, 23",-0.000267094
2023-10-18,949.2,950.65,939.1,943.75,935.69,12000153,12000153,-5.45,-0.57417,945.675,"October 18, 23",-0.0057417
2023-10-17,955.4,960.95,951.5,953.9,945.76,7747527,7747527,-1.5,-0.157,955.4375,"October 17, 23",-0.00157
2023-10-16,948.5,954.85,946.15,951.4,943.28,5763024,5763024,2.9,0.30575,950.225,"October 16, 23",0.0030575
2023-10-13,949.95,957.4,944.55,951.3,943.18,6650442,6650442,1.35,0.14211,950.8,"October 13, 23",0.0014211
2023-10-12,952.85,960.1,948.4,954.25,946.11,7836818,7836818,1.4,0.14693,953.9,"October 12, 23",0.0014693
2023-10-11,954.9,962.05,950.75,953.1,944.96,12233117,12233117,-1.8,-0.1885,955.2,"October 11, 23",-0.001885
2023-10-10,940.4,957.5,940.35,951.2,943.08,11452715,11452715,10.8,1.15,947.3625,"October 10, 23",0.0115
2023-10-09,940.25,942.05,936.3,938.6,930.59,6725306,6725306,-1.65,-0.17549,939.3,"October 09, 23",-0.0017549
2023-10-06,946.0,946.55,938.0,945.2,937.13,6355755,6355755,-0.79999,-0.0845666,943.9375,"October 06, 23",-0.000845666
2023-10-05,935.2,943.95,934.55,940.85,932.82,10478856,10478856,5.65,0.60415,938.6375,"October 05, 23",0.0060415
2023-10-04,935.0,935.5,925.0,930.05,922.11,17334739,17334739,-4.95,-0.52941,931.3875,"October 04, 23",-0.0052941
2023-10-03,951.6,951.6,939.0,940.3,932.27,11131636,11131636,-11.3,-1.19,945.625,"October 03, 23",-0.0119
2023-09-29,946.7,956.0,943.7,951.9,943.78,10447334,10447334,5.2,0.54928,949.575,"September 29, 23",0.0054928
2023-09-28,945.5,947.25,934.75,942.6,934.55,25991282,25991282,-2.9,-0.30672,942.525,"September 28, 23",-0.0030672
2023-09-27,946.3,946.5,934.4,943.1,935.05,15152973,15152973,-3.2,-0.33816,942.575,"September 27, 23",-0.0033816
2023-09-26,958.95,958.95,947.1,948.7,940.6,10521409,10521409,-10.25,-1.07,953.425,"September 26, 23",-0.0107
2023-09-25,950.3,961.2,941.5,956.35,948.19,8997098,8997098,6.05,0.63664,952.3375,"September 25, 23",0.0063664
2023-09-22,956.5,960.9,947.4,950.3,942.19,12701888,12701888,-6.2,-0.6482,953.775,"September 22, 23",-0.006482
2023-09-21,979.95,982.5,957.45,959.3,951.11,19742813,19742813,-20.65,-2.11,969.8,"September 21, 23",-0.0211
2023-09-20,981.55,996.0,980.65,987.15,978.72,25741856,25741856,5.6,0.57053,986.3375,"September 20, 23",0.0057053
2023-09-18,990.1,996.25,987.3,990.2,981.75,16713222,16713222,0.10003,0.01009999,990.9625,"September 18, 23",0.0001009999
2023-09-15,990.35,997.5,988.6,992.45,983.98,13307980,13307980,2.1,0.21205,992.225,"September 15, 23",0.0021205
2023-09-14,992.3,992.9,982.25,987.7,979.27,11464188,11464188,-4.6,-0.46357,988.7875,"September 14, 23",-0.0046357
2023-09-13,989.8,994.85,980.55,989.8,981.35,21997553,21997553,0.0,0.0,988.75,"September 13, 23",0.0
2023-09-12,990.1,995.15,982.65,990.5,982.05,20959591,20959591,0.40002,0.04039996,989.6,"September 12, 23",0.0004039996
2023-09-11,974.95,982.0,969.35,978.25,969.9,7894110,7894110,3.3,0.33848,976.1375,"September 11, 23",0.0033848
2023-09-08,967.5,975.0,961.25,970.55,962.27,13086915,13086915,3.05,0.31525,968.575,"September 08, 23",0.0031525
2023-09-07,957.4,969.5,954.7,965.65,957.41,13462347,13462347,8.25,0.86171,961.8125,"September 07, 23",0.0086171
2023-09-06,962.55,969.5,950.8,957.5,949.33,30802100,30802100,-5.05,-0.52465,960.0875,"September 06, 23",-0.0052465
2023-09-05,964.1,970.0,962.25,968.4,960.13,16623486,16623486,4.3,0.44601,966.1875,"September 05, 23",0.0044601
2023-09-04,968.7,969.05,960.55,967.35,959.09,9512956,9512956,-1.35,-0.13936,966.4125,"September 04, 23",-0.0013936
